Titre :;Agrégats monétaires France, M2 [encours];Composante française de l'agrégat monétaire M3 de la zone euro, encours (CVS-CJO)
Code série :;BSI1.M.FR.N.V.M20.A.1.U2.2300.Z01.E;BSI1.M.FR.Y.V.N30.X.1.U2.2300.Z01.E
Unité :;Euro (EUR);Euro (EUR)
Magnitude :;Millions (6);Millions (6)
Méthode d'observation :;Fin de période (E);Fin de période (E)
Source :;Banque de France (FR2);Banque de France (FR2)
Oct 1984;417712;364802
Sep 1984;416066;362563
Aoû 1984;407841;359709
Jul 1984;409947;353519
Jun 1984;408698;350639
Mai 1984;399569;348224
Avr 1984;402886;344690
Mar 1984;399105;341120
Fév 1984;396224;340479
Jan 1984;399942;339910
Déc 1983;406499;337648
Nov 1983;385203;334657
Oct 1983;384539;328481
Sep 1983;376379;323077
Aoû 1983;372627;322735
Jul 1983;377154;319285
Jun 1983;372727;317375
Mai 1983;367908;315208
Avr 1983;368178;310006
Mar 1983;363131;308878
Fév 1983;363265;307401
Jan 1983;364822;304424
Déc 1982;366577;301212
Nov 1982;351001;299428
Oct 1982;354166;298470
Sep 1982;348060;296122
Aoû 1982;342909;293179
Jul 1982;344708;287730
Jun 1982;341746;287489
Mai 1982;335537;284161
Avr 1982;334050;280360
Mar 1982;331764;279088
Fév 1982;328835;274374
Jan 1982;328974;270861
Déc 1981;330217;268165
Nov 1981;315315;265525
Oct 1981;315931;262982
Sep 1981;310933;261913
Aoû 1981;300795;253741
Jul 1981;306676;255759
Jun 1981;305992;254157
Mai 1981;301834;252685
Avr 1981;299874;249483
Mar 1981;295357;245503
Fév 1981;293879;242331
Jan 1981;293873;239019
Déc 1980;296322;237118
Nov 1980;284325;236595
Oct 1980;282021;234653
Sep 1980;278719;231385
Aoû 1980;273797;228493
Jul 1980;274915;226977
Jun 1980;272864;223623
Mai 1980;267605;220198
Avr 1980;267992;219011
Mar 1980;265918;216893
Fév 1980;263286;215634
Jan 1980;264462;216384
